id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29059,Rental unit in Montreal · ★4.67 · 1 bedroom · 2 beds · 1 bath,125031,Maryline,,Ville-Marie,45.51939,-73.56482,Entire home/apt,190,2,439,2023-09-19,2.71,2,308,49,"267153, expires: 2024-03-31"
29061,Home in Montreal · ★4.72 · 2 bedrooms · 2 beds · 1 bath,125031,Maryline,,Ville-Marie,45.51929,-73.56493,Entire home/apt,349,3,128,2023-09-11,0.90,2,321,18,"267153, expires: 2024-03-31"
34715,Rental unit in Montreal · ★4.89 · 2 bedrooms · 3 beds · 1 bath,149769,Alain,,Rosemont-La Petite-Patrie,45.53818,-73.6036,Entire home/apt,160,14,10,2023-07-08,0.06,1,131,2,"261026, expires: 2023-10-31"
36301,Rental unit in Montréal · ★4.88 · 1 bedroom · 2 beds · 1 bath,381468,Sylvie,,Le Plateau-Mont-Royal,45.53026,-73.58413,Entire home/apt,175,32,49,2023-08-31,0.48,7,341,4,
38118,Rental unit in Montreal · ★4.50 · 3 bedrooms · 4 beds · 1 shared bath,163569,M.,,Ville-Marie,45.52699,-73.5584,Private room,50,31,17,2022-08-29,0.12,1,327,0,
46626,Rental unit in Montréal · ★4.62 · 4 bedrooms · 4 beds · 1 shared bath,208453,Maureen,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4702282493343,-73.60712289553328,Private room,76,3,54,2023-09-16,0.36,2,353,14,"305995, expires: 2024-07-31"
50479,Rental unit in Montreal · ★4.95 · 1 bedroom · 1 bed · 1 bath,231694,Noemie,,Rosemont-La Petite-Patrie,45.54157,-73.60737,Entire home/apt,121,4,243,2023-09-23,1.53,2,0,52,"271530, expires: 2024-04-30"
66247,Loft in Montreal · ★4.70 · 1 bedroom · 1 bed · 1 bath,318040,Seb,,Ville-Marie,45.50584,-73.55602,Entire home/apt,209,3,427,2023-09-25,2.74,5,53,80,"314544, expires: 2024-07-14T00:00:00Z"
66276,Rental unit in Montreal · ★4.70 · 1 bedroom · 1 bed · 1 bath,324569,Anna,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46133041381836,-73.62896728515625,Entire home/apt,55,32,39,2023-06-06,0.25,2,256,1,
70489,Condo in Montreal · ★4.0 · 1 bedroom · 2 beds · 1.5 baths,145990,Marc Andre,,Ville-Marie,45.5019,-73.56354,Entire home/apt,90,31,3,2014-09-08,0.02,1,291,0,
70801,Home in Montreal · ★4.88 · 3 bedrooms · 3 beds · 2.5 baths,294382,Jennifer&Steeve,,Le Sud-Ouest,45.47812,-73.55698,Entire home/apt,515,3,34,2023-09-05,0.22,1,127,7,"310728, expires: 2024-07-31"
85267,Rental unit in Montreal · ★4.89 · 1 bedroom · 2 beds · 1 bath,381468,Sylvie,,Le Plateau-Mont-Royal,45.52946,-73.58206,Entire home/apt,170,90,38,2023-08-09,0.25,7,288,5,
99859,Rental unit in Montreal · ★4.81 · 2 bedrooms · 2 beds · 1 bath,525486,Sesaye,,Le Plateau-Mont-Royal,45.51856,-73.57756,Entire home/apt,232,31,45,2023-08-07,0.30,1,365,4,
104554,Rental unit in Montreal · ★4.67 · 2 bedrooms · 2 beds · 1 bath,543969,Victoria,,Le Plateau-Mont-Royal,45.52403,-73.60176,Entire home/apt,123,31,90,2023-08-30,0.60,1,7,6,"307546, expires: 2023-11-30"
107860,Rental unit in Montreal · ★4.48 · 1 bedroom · 4 beds · 1.5 shared baths,528512,Jen,,Le Plateau-Mont-Royal,45.52508,-73.58719,Private room,20,300,145,2022-12-19,0.96,1,269,1,
135275,Rental unit in Montreal · ★4.81 · 1 bedroom · 1 bed · 2 baths,520966,Myriam,,Villeray-Saint-Michel-Parc-Extension,45.53971,-73.61943,Entire home/apt,181,60,73,2023-04-30,0.49,3,160,1,
137443,Rental unit in Montreal · ★4.80 · 2 bedrooms · 2 beds · 1 bath,656725,Christophe,,Le Plateau-Mont-Royal,45.52663,-73.60145,Entire home/apt,234,2,66,2023-09-11,0.47,1,155,20,"310398, expires: 2024-06-30"
142722,Rental unit in Montreal · ★4.85 · Studio · 1 bed · 1 bath,381468,Sylvie,,Le Plateau-Mont-Royal,45.52851,-73.58224,Entire home/apt,140,32,125,2023-07-31,0.84,7,103,3,
160600,Rental unit in Montreal · ★4.85 · 2 bedrooms · 3 beds · 1 bath,324569,Anna,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.461334228515625,-73.62901306152344,Entire home/apt,96,32,27,2023-09-11,0.18,2,312,5,
160639,Rental unit in Montréal · ★4.73 · 1 bedroom · 1 bed · 1 bath,38398,Omar,,Rosemont-La Petite-Patrie,45.54512,-73.59808,Entire home/apt,90,186,16,2019-11-30,0.11,1,358,0,
164087,Rental unit in Montreal · ★4.84 · Studio · 1 bed · 1 bath,604849,Martin,,Le Plateau-Mont-Royal,45.528545,-73.579308,Entire home/apt,150,2,696,2023-09-18,4.70,3,128,64,"291093, expires: 2024-01-31"
165108,Rental unit in Montreal · ★4.69 · 2 bedrooms · 2 beds · 1 bath,787391,Karine,,Rosemont-La Petite-Patrie,45.54673,-73.57181,Entire home/apt,95,31,32,2022-01-02,0.22,3,2,0,
168331,Rental unit in Montréal · ★4.91 · 2 bedrooms · 2 beds · 1 bath,604849,Martin,,Le Plateau-Mont-Royal,45.528431,-73.578979,Entire home/apt,321,2,605,2023-09-24,4.13,3,104,67,"291093, expires: 2024-01-31"
171627,Rental unit in Montreal · Studio · 1 bed · 1 bath,818883,Lapelemo,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49406,-73.62555,Entire home/apt,92,31,2,2022-08-07,0.01,3,98,0,
180947,Rental unit in Montreal · ★4.25 · 1 bedroom · 1 bed · 1 bath,387422,Service,,Ville-Marie,45.50312,-73.56346,Entire home/apt,115,31,5,2022-03-22,0.04,20,365,0,
182142,Rental unit in Montréal · ★5.0 · 4 bedrooms · 6 beds · 2.5 baths,818883,Lapelemo,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49172,-73.6247,Entire home/apt,299,31,3,2022-12-31,0.18,3,344,1,
190003,Rental unit in Montreal · 1 bedroom · 1 bed · 1 bath,640693,Marco,,Le Plateau-Mont-Royal,45.51937,-73.56999,Private room,13294,99,1,2011-08-13,0.01,1,365,0,
206647,Rental unit in Montreal · ★4.42 · 1 bedroom · 1 bed · 1 bath,1016614,Home In Montreal,,Le Sud-Ouest,45.47944,-73.5582,Entire home/apt,83,90,19,2022-08-31,0.14,7,1,0,
208337,Rental unit in Montreal · ★4.82 · 4 bedrooms · 4 beds · 2.5 baths,1025518,Christian Et Judith,,Le Plateau-Mont-Royal,45.53217,-73.58388,Entire home/apt,220,20,23,2022-08-28,0.16,2,48,0,"306474, expires: 2024-08-31"
211602,Guest suite in Baie-D'Urfe · ★4.85 · 1 bedroom · 1 bed · 1 bath,407029,Hans,,Baie-d'Urfé,45.41282,-73.90712,Entire home/apt,146,2,216,2023-10-02,1.79,1,16,21,"311701, expires: 2023-12-22"
222430,Home in Montreal · ★4.11 · 1 bedroom · 1 bed · 1 bath,1020994,Melanie,,Ville-Marie,45.4901,-73.56718,Private room,40,31,20,2022-06-27,0.14,8,289,0,
231472,Rental unit in Montreal · ★4.89 · 1 bedroom · 2 beds · 1 bath,520966,Myriam,,Villeray-Saint-Michel-Parc-Extension,45.53839,-73.61759,Entire home/apt,125,31,22,2020-03-31,0.16,3,40,0,
233584,Townhouse in Montreal · ★5.0 · 1 bedroom · 1 bed · 3 shared baths,1020994,Melanie,,Le Sud-Ouest,45.49031,-73.56686,Private room,30,32,4,2015-08-31,0.03,8,288,0,
234198,Guest suite in Montreal · ★4.80 · 1 bedroom · 1 bed · 0 baths,381468,Sylvie,,Le Plateau-Mont-Royal,45.52991,-73.58205,Entire home/apt,140,32,51,2023-09-10,0.36,7,128,2,
237216,Rental unit in Montreal · ★4.66 · 1 bedroom · 1 bed · 1 bath,1245164,Christophe &  Marie-Andrée,,Villeray-Saint-Michel-Parc-Extension,45.55275,-73.60055,Entire home/apt,90,32,45,2023-09-30,0.31,1,5,3,
238705,Cottage in Montreal · ★4.78 · 4 bedrooms · 5 beds · 2 baths,1251392,Victor,,Le Plateau-Mont-Royal,45.5211,-73.59219,Entire home/apt,375,31,10,2020-01-02,0.08,1,280,0,
241212,Rental unit in Montreal · ★4.93 · 3 bedrooms · 3 beds · 1.5 baths,787391,Karine,,Rosemont-La Petite-Patrie,45.5467,-73.57182,Entire home/apt,180,31,17,2023-07-13,0.12,3,1,2,270992
256043,Condo in Montreal · ★4.97 · 2 bedrooms · 2 beds · 1 bath,1346302,Stéphanie,,Le Plateau-Mont-Royal,45.52912,-73.57694,Entire home/apt,100,90,34,2020-10-29,0.33,1,81,0,
285349,Rental unit in Montréal · ★4.78 · 3 bedrooms · 3 beds · 1 bath,787391,Karine,,Rosemont-La Petite-Patrie,45.55232,-73.58254,Entire home/apt,180,31,9,2021-10-10,0.14,3,294,0,
285497,Condo in Montréal · ★4.47 · 1 bedroom · 2 beds · 1 bath,1486044,Karine,,Le Plateau-Mont-Royal,45.50999,-73.5749,Entire home/apt,115,90,17,2023-08-15,0.17,1,365,1,
286671,Rental unit in Montreal · ★4.70 · 2 bedrooms · 2 beds · 2 baths,1145010,Ian,,Le Plateau-Mont-Royal,45.51898,-73.56871,Entire home/apt,220,90,11,2019-11-29,0.08,1,359,0,
291629,Rental unit in Montreal · ★4.88 · Studio · 1 bath,1510828,Marie-France Et Alain,,Rosemont-La Petite-Patrie,45.54967,-73.58588,Entire home/apt,38,31,82,2023-08-22,0.58,1,120,6,
293760,Rental unit in Saint-Laurent · ★4.61 · 1 bedroom · 1 bed · 1 shared bath,1327466,Marie Gyby,,Saint-Laurent,45.52353,-73.68069,Private room,40,31,36,2021-01-01,0.25,3,258,0,
319695,Condo in Montreal · ★4.77 · 1 bedroom · 2 beds · 1 bath,370793,Aleece,,Le Plateau-Mont-Royal,45.52459,-73.59616,Entire home/apt,160,180,35,2021-06-21,0.25,1,364,0,
331764,Loft in Montreal · ★4.79 · 1 bedroom · 1 bed · 1 bath,1676310,Julien,,Le Plateau-Mont-Royal,45.52916,-73.57174,Entire home/apt,48,31,65,2023-08-13,0.48,1,80,2,
351671,Loft in Montreal · ★4.92 · 1 bedroom · 1 bed · 1 bath,381468,Sylvie,,Le Plateau-Mont-Royal,45.52979,-73.58235,Entire home/apt,125,32,73,2023-07-03,0.53,7,325,1,
353210,Rental unit in Montreal · ★4.93 · 1 bedroom · 1 bed · 2 shared baths,1789044,Colin&Özge,,Mercier-Hochelaga-Maisonneuve,45.55646,-73.53311,Private room,40,31,29,2023-07-29,0.22,3,120,3,
366300,Loft in Montreal · ★5.0 · 1 bedroom · 1 bed · 1 bath,1849455,Jackie,,Le Plateau-Mont-Royal,45.51783,-73.58198,Entire home/apt,220,365,15,2017-07-04,0.11,1,365,0,
380222,Rental unit in Montreal · ★5.0 · 2 bedrooms · 2 beds · 1 bath,1908104,Josée,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46567,-73.61991,Entire home/apt,95,31,6,2022-05-27,0.04,1,122,0,
397489,Condo in Montreal · ★4.52 · 2 bedrooms · 2 beds · 1.5 baths,1980685,Chad,,Le Sud-Ouest,45.4888,-73.57092,Entire home/apt,109,365,25,2021-02-01,0.18,2,365,0,
416010,Rental unit in Montreal · ★4.67 · 1 bedroom · 1 bed · 1 bath,702508,Andréane,,Rosemont-La Petite-Patrie,45.5519,-73.57544,Entire home/apt,45,60,36,2022-12-20,0.26,2,130,1,
418104,Rental unit in Montreal · ★4.89 · 1 bedroom · 1 bed · 1 bath,2077991,Janique And Frederic,,Rosemont-La Petite-Patrie,45.54702,-73.57514,Entire home/apt,75,32,399,2023-08-25,2.86,1,25,5,
426532,Rental unit in Verdun · ★4.64 · 1 bedroom · 1 bed · 1 bath,1016614,Home In Montreal,,Verdun,45.46853,-73.57173,Entire home/apt,112,90,12,2022-04-18,0.09,7,17,0,
451945,Rental unit in Montreal · ★4.60 · 3 bedrooms · 3 beds · 1 bath,2245004,Stephanie,,Le Plateau-Mont-Royal,45.53461,-73.57076,Entire home/apt,200,5,10,2023-07-15,0.10,1,203,1,"313257, expires: 2024-05-17T00:00:00Z"
453936,Rental unit in Montreal · ★4.93 · 1 bedroom · 1 bed · 1 bath,1904354,Serge,,Le Plateau-Mont-Royal,45.51614,-73.581,Entire home/apt,116,3,358,2023-09-26,2.59,1,250,54,"249454, expires: 2024-04-30"
476730,Rental unit in Montréal · ★4.91 · 3 bedrooms · 3 beds · 1 bath,2363064,Eloy & Julie,,Rosemont-La Petite-Patrie,45.54478,-73.60849,Entire home/apt,90,32,47,2019-08-14,0.34,1,0,0,
481023,Loft in Montreal · ★4.86 · 2 bedrooms · 3 beds · 2 baths,1149654,Jessica,,Le Plateau-Mont-Royal,45.52428,-73.58825,Entire home/apt,252,32,15,2019-08-08,0.11,3,331,0,
